Provincia,Distrito,Posto,Localidade,Povoado,CodigoEscola,NomeEscola,TemAgua,FonteAgua,QualidadeAgua,TemEnergia ,TipoEnergia,TemLatrina,TotalLatrina,EstadoLatrina,TemUrino,TotalUrino,UrinoFuncional,EstadoUrino,TemCasaBanho,TotalCB,CBFunci,Longitude,Latitude
Gaza,Cidade de Xai-Xai,Patrice Lomumba,Patrice Lumumba,Unidade1,20747,Escola Primária Completa U.1 - Patrice Lumumba,Sim,Rede pública,Potável,Sim,Rede Pública,Sim,4,Razoável,Não,0,Não,Nenhum,Sim,3,Sim,33.659017,-25.084664
Gaza,Cidade de Xai-Xai,Patrice Lomumba,Cidade de Xai-Xai sede,3 Bairro P. Lumumba,20749,Escola Primária Completa U.3 - Patrice Lumumba,Sim,Rede pública,Potável,Sim,Rede Pública,Sim,4,Razoável,Não,0,Não,Nenhum,Sim,4,Sim,33.671861,-25.076917
Gaza,Maunjacaze - Dingane,Chidenguele,Dengoine,Chibangue,20637,Escola Primária Completade 25 de Junho Chibangue  ,Sim,Cisterna,Não Potável,Não,Nenhum,Sim,7,Bom,Não,0,Não,Nenhum,Sim,6,Sim,34.32075,-24.839556
Gaza,Chokwe,Cidade do Chokwé,Cidade do Chókwé,6 Bairro,20455,Escola Primária de 6º Bairro da Cidade de Chokwe,Sim,Rede pública,Potável,Sim,Rede Pública,Sim,10,Bom,Não,0,Não,Nenhum,Não,0,Não,33.005472,-24.56525
Gaza,Maunjacaze - Dingane,Nguzene,Nguzene sede,Chilumbele,20662,"Escola Primária de Chilumbele ""A""",Sim,Furo com bomba,Potável,Não,Nenhum,Sim,2,Bom,Não,0,Não,Nenhum,Sim,2,Sim,33.92075,-24.808167
Gaza,Guijá,Chivonguene,Chibabel,Mupfucua,20102,Escola Primária de Mufucua,Sim,Furo com bomba,Potável,Não,Nenhum,Sim,6,Razoável,Não,0,Não,Nenhum,Não,0,Não,33.20245,-24.570617
Gaza,Maunjacaze - Dingane,Nguzene,Nguzene sede,Nhambenze,20666,Escola Primária de Nhambenze,Não,Nenhuma Fonte,Nenhuma,Não,Nenhum,Sim,3,Bom,Não,0,Não,Nenhum,Sim,3,Sim,33.992167,-24.870694
Gaza,Maunjacaze - Dingane,Maundlhakazi,Vila de Maundlacaze,Maunjacaze-sede,20985,Escola Primária do 1º e 2º  Grau de CAIP,Sim,Furo com bomba,Potável,Sim,Rede Pública,Sim,1,Mau,Não,0,Não,Nenhum,Sim,1,Sim,33.878361,-24.696861
Gaza,Cidade de Xai-Xai,Inhamissa,Inhamissa,Maurien Gouabí,,Escola Primária do 1º e 2º grau 12 de Outubro,Sim,Rede pública,Potável,Sim,Rede Pública,Sim,4,Bom,Não,0,Não,Nenhum,Não,0,Não,33.85505556,-25.04105556
Gaza,Bilene - Macia,Chissano,Incaia,Xigodoene,20892,Escola Primária do 1º e 2º grau ArMaundo Guebuza,Sim,Furo com bomba,Potável,Não,Nenhum,Sim,4,Bom,Sim,2,Sim,Razoável,Sim,2,Sim,33.192983,-24.945883
Gaza,Bilene - Macia,Messano,Maugul,Chingoe,20068,Escola Primária do 1º e 2º grau de Chingoe,Sim,Furo com bomba,Potável,Sim,Rede Pública,Sim,5,Bom,Sim,1,Sim,Mau,Não,0,Não,33.009083,-25.042283
Gaza,Bilene - Macia,Messano,Maumonho,Fulane,20032,Escola Primária do 1º e 2º grau de Fulane,Sim,Furo com bomba,Potável,Não,Nenhum,Sim,4,Razoável,Não,0,Não,Nenhum,Não,0,Não,33.048083,-24.98475
Gaza,Bilene - Macia,Macia sede,Macia-sede,Gombane,20010,Escola Primária do 1º e 2º grau de Gombane,Sim,Furo com bomba,Potável,Sim,Rede Pública,Sim,6,Bom,Não,0,Não,Nenhum,Não,0,Não,33.1345,-25.032817
Gaza,Xai-Xai distrito,Zongoene,Zonguene sede,A voz da FRELIMO,20408,Escola Primária do 1º e 2º grau de Mauboia,Sim,Furo com bomba,Potável,Sim,Rede Pública,Sim,8,Razoável,Sim,2,Sim,Razoável,Sim,5,Sim,33.492361,-25.086194
Gaza,Bilene - Macia,Maucuane,Maucuane sede,Gangane,20042,Escola Primária do 1º e 2º grau de Maucuane,Sim,Furo com bomba,Potável,Não,Nenhum,Não,0,Nenhum,Não,0,Não,Nenhum,Sim,8,Sim,33.18265,-25.07135
Gaza,Maunjacaze - Dingane,Chibonzane,Chibonzane sede,Maulene,20698,"Escola Primária do 1º e 2º grau de Maulene ""B""",Não,Nenhuma Fonte,Nenhuma,Não,Nenhum,Sim,1,Mau,Sim,2,Sim,Razoável,Não,0,Não,33.102861,-24.723444
